doc_id,FUNC1_el,FUNC1_de,FUNC1_que,FUNC1_y,FUNC1_a,FUNC1_en,FUNC1_ser,FUNC1_uno,FUNC1_su,FUNC1_se,FUNC1_no,FUNC1_haber,FUNC1_por,FUNC1_con,FUNC1_lo,FUNC1_para,FUNC1_este,FUNC1_como,FUNC1_más,FUNC1_me,FUNC1_estar,FUNC1_le,FUNC1_todo,FUNC1_o,FUNC1_ese,FUNC1_pero,FUNC1_mi,FUNC1_tener,FUNC1_si,FUNC1_sin,FUNC1_otro,FUNC1_ya,FUNC1_cuando,FUNC1_porque,FUNC1_nos,FUNC1_entre,FUNC1_hasta,FUNC1_nuestro,FUNC1_ni,FUNC1_qué,FUNC1_sobre,FUNC1_desde,FUNC1_también,FUNC1_mucho,FUNC1_quien,FUNC1_él,FUNC1_así,FUNC1_ante,FUNC1_muy,FUNC1_yo,FUNC1_sí,FUNC1_nada,FUNC1_alguno,FUNC1_tanto,FUNC1_poco,FUNC1_contra,FUNC1_ellos,FUNC1_te,FUNC1_algo,FUNC1_antes,FUNC1_mí,FUNC1_nosotros,FUNC1_durante,FUNC1_donde,FUNC1_cual,FUNC1_estado,FUNC1_tu,FUNC1_ir,FUNC1_estados,FUNC1_suyo,FUNC1_1,FUNC1_tú,FUNC1_sus,FUNC1_mío,FUNC1_era,FUNC1_ti,FUNC1_es,FUNC1_eso,FUNC1_vuestro,FUNC1_ha,FUNC1_estoy,FUNC1_hay,FUNC1_tiene,FUNC1_las,FUNC1_la,FUNC1_los,FUNC1_miar
4a,26.59430122,14.38263229,7.055630936,4.070556309,3.663500678,4.613297151,3.392130258,3.120759837,2.442333786,4.070556309,3.120759837,1.356852103,1.628222524,1.763907734,1.356852103,1.899592944,1.221166893,1.628222524,1.221166893,0,1.221166893,0.678426052,0.542740841,1.221166893,0.678426052,0.407055631,0,0.678426052,0.542740841,0.13568521,0.271370421,0.542740841,0.13568521,0.407055631,0,0.13568521,0.13568521,0,0.407055631,0.407055631,0,0.271370421,0,0.13568521,0,0.271370421,0.271370421,0.542740841,0.271370421,0,0,0,0,0.407055631,0,0.13568521,0,0,0,0,0,0,0.13568521,0,0.13568521,0,0,0,0.13568521,0,0,0,0,0,0.13568521,0,0,0,0,0,0,0,0,0,0,0,0
4b,25.90051458,12.00686106,8.919382504,4.631217839,5.488850772,6.518010292,4.802744425,1.886792453,2.572898799,3.087478559,1.54373928,2.058319039,1.200686106,1.54373928,0.51457976,2.572898799,0.857632933,0.686106346,1.54373928,0,0.51457976,0.686106346,0.857632933,0.343053173,0.686106346,1.372212693,0,0.686106346,0.686106346,0.343053173,0.343053173,0.343053173,0.51457976,0.171526587,0,0,0,0.171526587,1.02915952,0.171526587,0.171526587,0.51457976,0.343053173,0,0.171526587,0,0.343053173,0,0.171526587,0,0,0,0,0,0.343053173,0,0.171526587,0,0,0,0,0,0,0,0.171526587,0,0,0,0.343053173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4c,26.69537137,14.10118407,8.073196986,4.951560818,4.198062433,4.413347686,6.027987083,4.736275565,1.722282024,2.260495156,1.82992465,0.753498385,0.861141012,2.045209903,0.645855759,1.076426265,0.430570506,0.753498385,0.753498385,0,0.968783638,0.430570506,0.538213132,0.968783638,1.506996771,0,0,0.322927879,0.215285253,0.322927879,0.322927879,0.968783638,0,0.215285253,1.722282024,0.430570506,0.107642626,1.291711518,0,0,0.107642626,0.107642626,0.107642626,0.107642626,0,0.322927879,0,0.107642626,0,0,0,0,0,0.322927879,0.107642626,0.322927879,0.215285253,0,0.107642626,0.322927879,0,0.430570506,0,0.322927879,0,0.215285253,0,0,0.107642626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5a,21.40762463,12.02346041,7.917888563,4.398826979,5.865102639,4.105571848,4.105571848,4.398826979,3.225806452,4.985337243,4.105571848,1.173020528,2.346041056,0.293255132,0.879765396,1.759530792,0.879765396,2.346041056,0,0,1.173020528,1.173020528,0.586510264,0.293255132,0.586510264,0.293255132,0,0.879765396,1.173020528,0.879765396,0.879765396,0.293255132,0,0.293255132,0,0.879765396,0.586510264,0,0.293255132,0.293255132,0.586510264,0.293255132,0,0.293255132,0,0.293255132,0.293255132,0,0,0,0.293255132,0.293255132,0,0,0,0.293255132,0,0,0,0,0,0,0,0,0,0.586510264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5b,20.64896755,11.79941003,7.374631268,5.014749263,5.014749263,3.244837758,2.654867257,2.359882006,2.654867257,4.719764012,3.539823009,3.83480826,1.474926254,3.83480826,0.884955752,0.884955752,2.949852507,1.179941003,0.294985251,3.244837758,0.589970501,0.294985251,0.589970501,1.179941003,0.294985251,0.884955752,0.294985251,0,1.179941003,1.179941003,0.589970501,0,0.589970501,0.294985251,0,0.884955752,0.884955752,0,0.294985251,0.294985251,0,0,0,0,0,0,0,0,0.294985251,0,0.589970501,0.294985251,0,0,0,0,0,0.294985251,0,0.294985251,0.294985251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5c,28.90855457,15.63421829,8.259587021,2.949852507,4.719764012,4.424778761,4.12979351,2.654867257,3.244837758,1.179941003,2.949852507,3.83480826,1.179941003,0.589970501,0.294985251,0.884955752,2.064896755,0.884955752,2.654867257,0.294985251,1.474926254,0.294985251,0.294985251,0.294985251,0,1.474926254,0,0,0.884955752,0.884955752,0.294985251,0,0.589970501,0,0,0,0.294985251,0.294985251,0.294985251,0,0,0,0,0,0,0,0,0,0,0.294985251,0.294985251,0,0,0.294985251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5d,19.88795518,11.20448179,9.803921569,4.201680672,3.641456583,1.960784314,3.641456583,3.641456583,4.201680672,1.680672269,2.801120448,4.201680672,1.400560224,1.400560224,3.641456583,1.400560224,0.840336134,1.680672269,3.921568627,0.56022409,0.56022409,0.56022409,1.120448179,0.280112045,1.120448179,1.960784314,0,0.280112045,0.840336134,0.840336134,0.280112045,0.56022409,0,0.280112045,0,0.840336134,0,0,1.400560224,0,0,0.56022409,0,0.280112045,0,0,0,0,0.280112045,0,0,0.56022409,0.280112045,0.56022409,0,0,0,0,0.56022409,0.280112045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5f,22.68907563,12.60504202,9.803921569,4.761904762,6.442577031,3.641456583,3.641456583,3.921568627,1.120448179,3.081232493,2.521008403,3.081232493,0.840336134,1.680672269,1.120448179,1.120448179,2.801120448,0.280112045,1.400560224,0.280112045,0,1.400560224,1.120448179,0,0.840336134,0,0,0.56022409,0,0.840336134,0.56022409,0.56022409,0.56022409,0,1.400560224,1.400560224,0.840336134,0.840336134,0,0.280112045,0,0.56022409,0,0.280112045,0,0,0,0,0,0,0.56022409,0.280112045,0,0,0,0,0,0,0.280112045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5g,24.28571429,11.42857143,7.142857143,5.714285714,2.857142857,5.714285714,2.142857143,2.142857143,2.857142857,1.428571429,2.142857143,1.428571429,1.428571429,1.428571429,0.714285714,1.428571429,0.714285714,3.571428571,1.428571429,2.857142857,1.428571429,0.714285714,0,1.428571429,0.714285714,0.714285714,2.142857143,0.714285714,1.428571429,0.714285714,0.714285714,0.714285714,0,0,1.428571429,0,0,0,0,0,0,0.714285714,0.714285714,0,0.714285714,0,0.714285714,0,0,0,0,0,0.714285714,0,0.714285714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5h,16.8128655,9.941520468,8.333333333,6.432748538,5.701754386,3.801169591,3.070175439,4.093567251,3.50877193,3.947368421,2.923976608,3.216374269,2.046783626,1.754385965,0.877192982,0.292397661,2.192982456,1.461988304,0.438596491,1.754385965,1.023391813,1.023391813,0.730994152,0.292397661,1.169590643,1.023391813,0.877192982,0.292397661,0.292397661,0.292397661,1.169590643,0.438596491,0.438596491,0,0.438596491,0,0.14619883,0.730994152,0.292397661,0.877192982,0.584795322,0.14619883,0.14619883,0,0,0.584795322,0.292397661,0.292397661,0.438596491,0.438596491,0.438596491,0.292397661,0,0,0.14619883,0,0,0.292397661,0.438596491,0.14619883,0.438596491,0,0,0,0,0,0.292397661,0,0,0,0,0,0,0,0,0,0,0.14619883,0.14619883,0.14619883,0,0,0,0,0,0,0
5i,17.61280932,9.170305677,11.06259098,2.911208151,4.22125182,3.493449782,4.512372635,4.22125182,3.639010189,3.202328967,3.784570597,2.328966521,1.164483261,1.455604076,2.328966521,1.018922853,1.018922853,2.183406114,1.746724891,1.455604076,1.018922853,1.310043668,0.436681223,1.310043668,0.873362445,0.873362445,0,1.018922853,0.436681223,0.873362445,0.436681223,0.727802038,0.145560408,0,0.727802038,0.436681223,0.291120815,0.58224163,0.291120815,0.727802038,0,0,0,0.58224163,0.145560408,0.436681223,0.291120815,0.291120815,0.436681223,0.291120815,0.291120815,0.145560408,0,0.291120815,0,0,0.291120815,0.145560408,0,0.145560408,0,0.291120815,0.145560408,0,0,0,0,0.145560408,0,0,0,0,0,0,0,0,0,0,0,0,0.145560408,0.145560408,0.145560408,0.145560408,0,0,0
5j,18.79936809,12.79620853,9.952606635,4.265402844,4.107424961,4.107424961,3.001579779,4.107424961,3.001579779,2.685624013,2.52764613,2.211690363,2.05371248,1.737756714,1.579778831,1.421800948,2.211690363,1.421800948,2.52764613,0.789889415,0.631911532,0.157977883,0.315955766,1.263823065,0.157977883,0.315955766,0.789889415,0.789889415,0.473933649,1.105845182,0.315955766,0.789889415,0.473933649,0.157977883,1.579778831,0.473933649,0,1.105845182,0.315955766,0.631911532,0.631911532,0,0.157977883,0.157977883,0.157977883,0.157977883,0.157977883,0.157977883,0,0,0,0.157977883,0,0.157977883,0,0,0.157977883,0.157977883,0,0,0.157977883,0.157977883,0,0.157977883,0,0,0,0,0,0,0,0,0,0,0.157977883,0,0,0,0,0,0,0,0,0,0,0,0
2c,19.09753874,13.49134002,8.204193254,5.287146764,6.289881495,4.649042844,4.968094804,4.147675479,2.871467639,2.233363719,3.008204193,1.868732908,1.640838651,1.27620784,1.367365542,1.823154057,0.774840474,0.774840474,0.683682771,0.865998177,0.820419325,0.774840474,0.455788514,0.364630811,0.592525068,0.820419325,1.139471285,0.95715588,0.865998177,0.182315406,0.273473108,0.364630811,0.182315406,0.683682771,0.227894257,0.091157703,0.410209663,0.136736554,0.273473108,0.410209663,0.182315406,0.273473108,0.045578851,0.227894257,0.592525068,0.410209663,0.182315406,0.045578851,0.364630811,0.455788514,0.182315406,0.091157703,0.227894257,0.045578851,0,0.455788514,0.273473108,0.045578851,0.045578851,0,0.136736554,0,0,0.045578851,0.091157703,0.045578851,0,0.045578851,0,0.045578851,0,0,0,0,0,0,0.091157703,0,0,0,0,0,0,0,0,0,0
2d,22.42990654,12.14953271,6.542056075,4.984423676,3.738317757,5.919003115,6.542056075,2.180685358,3.115264798,3.426791277,2.492211838,0.934579439,1.869158879,2.180685358,1.246105919,3.115264798,0.934579439,1.246105919,0.934579439,0,0.31152648,0,1.557632399,0.31152648,0.62305296,0.31152648,0,0.62305296,0.934579439,0.62305296,0,0.31152648,0,1.246105919,0.31152648,0.31152648,0.62305296,0.31152648,0,0.31152648,0.31152648,0,0,0.31152648,0.934579439,0.31152648,0.31152648,1.869158879,0,0,0.31152648,0,0,0,0,0,0.31152648,0,0,0,0,0,0,0,0.31152648,0,0,0,0,0,0,0,0.31152648,0,0,0,0,0,0,0,0,0,0,0,0,0,0
