doc_id,LEXWL_wl_2,LEXWL_wl_3,LEXWL_wl_5,LEXWL_wl_6,LEXWL_wl_7,LEXWL_wl_4,LEXWL_wl_8,LEXWL_wl_1,LEXWL_wl_9,LEXWL_wl_10,LEXWL_wl_11,LEXWL_wl_12,LEXWL_wl_13,LEXWL_wl_14,LEXWL_wl_20,LEXWL_wl_15,LEXWL_wl_16,LEXWL_wl_17,LEXWL_wl_19,LEXWL_wl_18
4a,26.69936931,16.67834618,7.077785564,7.848633497,7.077785564,5.746320953,6.096706377,4.625087596,6.236860547,3.573931324,1.541695865,1.191310441,0.770847933,2.312543798,0.560616678,1.121233357,0.210231254,0.420462509,0.070077085,0.14015417
4b,23.87152778,16.49305556,7.378472222,8.940972222,5.902777778,6.684027778,6.423611111,5.381944444,6.25,4.340277778,2.690972222,1.388888889,1.215277778,0.78125,0.434027778,1.041666667,0.260416667,0.260416667,0.086805556,0.173611111
4c,25.51647125,15.96873255,8.486878839,7.70519263,8.710217755,4.857621441,6.588498046,5.304299274,5.471803462,3.908431044,2.12171971,1.340033501,0.893355667,1.619207147,0.614182021,0.67001675,0,0.111669458,0.055834729,0.055834729
5a,28.88540031,12.24489796,6.907378336,5.180533752,7.849293564,7.535321821,7.064364207,5.651491366,4.866562009,3.610675039,6.12244898,1.412872841,1.098901099,1.25588697,0.156985871,0.156985871,0,0,0,0
5b,25.59618442,15.10333863,7.949125596,6.836248013,5.882352941,6.359300477,7.949125596,6.200317965,6.041335453,3.815580286,3.020667727,1.907790143,1.589825119,0.953895072,0.317965024,0.158982512,0.317965024,0,0,0
5c,28.27804107,15.48183254,6.003159558,6.003159558,6.477093207,6.793048973,7.898894155,4.265402844,6.63507109,4.107424961,2.685624013,1.737756714,1.895734597,0.789889415,0.631911532,0,0,0.157977883,0.157977883,0
5d,27.58089368,15.5624037,8.782742681,6.625577812,7.858243451,7.395993837,6.163328197,4.468412943,3.235747304,3.389830508,4.006163328,1.694915254,1.386748844,0.61633282,0.30816641,0.30816641,0.154083205,0.462249615,0,0
5f,26.3650546,16.53666147,9.672386895,6.24024961,4.836193448,7.488299532,4.368174727,6.24024961,6.24024961,4.368174727,2.496099844,1.092043682,0.624024961,1.560062403,0.468018721,0.468018721,0.31201248,0.31201248,0.31201248,0
5g,28.30188679,12.45283019,6.037735849,7.547169811,9.056603774,7.924528302,6.79245283,5.283018868,6.41509434,4.528301887,3.018867925,1.132075472,0,0.377358491,0,0.377358491,0.754716981,0,0,0
5h,25.80398162,15.46707504,11.7151608,8.039816233,5.819295559,10.56661562,5.130168453,7.120980092,3.522205207,3.062787136,0.995405819,0.535987749,0.842266462,0.306278714,0.535987749,0.229709035,0.153139357,0.153139357,0,0
